# time	AE	std
1980-09-09 00:00	133.000000	65.673103
1980-09-10 00:00	224.041667	193.646356
1980-09-11 00:00	109.000000	57.732517
1980-09-12 00:00	348.458333	161.519141
1980-09-13 00:00	540.083333	156.226401
1980-09-14 00:00	193.625000	193.357028
1980-09-15 00:00	129.125000	112.973761
1980-09-16 00:00	167.666667	100.696560
1980-09-17 00:00	186.291667	176.001107
1980-09-18 00:00	144.958333	126.172235
1980-09-19 00:00	64.791667	48.415753
1980-09-20 00:00	174.625000	94.136724
1980-09-21 00:00	61.208333	26.732132
1980-09-22 00:00	72.041667	46.974997
1980-09-23 00:00	117.416667	106.940014
1980-09-24 00:00	83.500000	49.986955
1980-09-25 00:00	135.583333	78.507223
1980-09-26 00:00	122.250000	67.328688
1980-09-27 00:00	83.750000	47.145704
1980-09-28 00:00	97.916667	67.823887
1980-09-29 00:00	108.541667	65.706845
1980-09-30 00:00	119.791667	102.862077
1980-10-01 00:00	40.208333	13.445475
1980-10-02 00:00	42.833333	8.207455
1980-10-03 00:00	42.875000	20.428694
1980-10-04 00:00	217.500000	146.887416
1980-10-05 00:00	486.833333	167.707734
1980-10-06 00:00	360.250000	134.877158
1980-10-07 00:00	165.208333	99.387681
1980-10-08 00:00	140.958333	92.734534
1980-10-09 00:00	176.625000	116.163607
1980-10-10 00:00	197.750000	125.653855
1980-10-11 00:00	546.500000	187.500493
1980-10-12 00:00	104.708333	123.508662
1980-10-13 00:00	55.791667	24.288088
1980-10-14 00:00	58.125000	15.754399
1980-10-15 00:00	222.666667	132.389631
1980-10-16 00:00	152.000000	127.458774
1980-10-17 00:00	74.791667	64.172986
1980-10-18 00:00	236.833333	154.856081
1980-10-19 00:00	218.875000	176.204504
1980-10-20 00:00	198.791667	150.098802
1980-10-21 00:00	124.708333	43.128200
1980-10-22 00:00	250.166667	172.724880
1980-10-23 00:00	422.000000	297.821365
1980-10-24 00:00	307.250000	289.476927
1980-10-25 00:00	219.625000	149.232183
1980-10-26 00:00	336.041667	167.778187
1980-10-27 00:00	42.750000	16.713051
1980-10-28 00:00	35.833333	9.854007
1980-10-29 00:00	38.000000	8.129388
1980-10-30 00:00	131.791667	110.208490
1980-10-31 00:00	164.708333	144.258668
1980-11-01 00:00	443.291667	236.206152
1980-11-02 00:00	174.708333	151.105629
1980-11-03 00:00	153.416667	117.238485
1980-11-04 00:00	215.000000	188.754960
1980-11-05 00:00	98.750000	102.115131
1980-11-06 00:00	56.708333	31.415143
1980-11-07 00:00	99.833333	58.709059
1980-11-08 00:00	49.291667	21.931671
1980-11-09 00:00	57.375000	45.151737
1980-11-10 00:00	146.458333	97.734325
1980-11-11 00:00	176.166667	128.205564
1980-11-12 00:00	264.416667	169.662303
1980-11-13 00:00	103.375000	60.830350
1980-11-14 00:00	95.125000	66.827040
1980-11-15 00:00	282.958333	219.498733
1980-11-16 00:00	374.000000	142.176865
1980-11-17 00:00	203.833333	188.765018
1980-11-18 00:00	208.166667	85.967975
1980-11-19 00:00	289.541667	113.156674
1980-11-20 00:00	294.250000	140.298207
1980-11-21 00:00	232.291667	170.123351
1980-11-22 00:00	122.458333	60.245858
1980-11-23 00:00	90.666667	57.561813
1980-11-24 00:00	174.833333	121.555737
1980-11-25 00:00	143.250000	72.847816
